"","date","holiday"
"1",2005-01-01,"New year"
"2",2005-03-28,"Easter Monday"
"3",2005-05-01,"Labour Day"
"4",2005-05-05,"Ascension Thursday"
"5",2005-05-08,"Victory in Europe Day"
"6",2005-05-16,"Whit Monday"
"7",2005-07-14,"Bastille Day"
"8",2005-08-15,"Assumption of Mary to Heaven"
"9",2005-11-01,"All Saints Day"
"10",2005-11-11,"Armistice Day"
"11",2005-12-25,"Christmas Day"
"12",2006-01-01,"New year"
"13",2006-04-17,"Easter Monday"
"14",2006-05-01,"Labour Day"
"15",2006-05-08,"Victory in Europe Day"
"16",2006-05-25,"Ascension Thursday"
"17",2006-06-05,"Whit Monday"
"18",2006-07-14,"Bastille Day"
"19",2006-08-15,"Assumption of Mary to Heaven"
"20",2006-11-01,"All Saints Day"
"21",2006-11-11,"Armistice Day"
"22",2006-12-25,"Christmas Day"
"23",2007-01-01,"New year"
"24",2007-04-09,"Easter Monday"
"25",2007-05-01,"Labour Day"
"26",2007-05-08,"Victory in Europe Day"
"27",2007-05-17,"Ascension Thursday"
"28",2007-05-28,"Whit Monday"
"29",2007-07-14,"Bastille Day"
"30",2007-08-15,"Assumption of Mary to Heaven"
"31",2007-11-01,"All Saints Day"
"32",2007-11-11,"Armistice Day"
"33",2007-12-25,"Christmas Day"
"34",2008-01-01,"New year"
"35",2008-03-24,"Easter Monday"
"36",2008-05-01,"Ascension Thursday"
"37",2008-05-01,"Labour Day"
"38",2008-05-08,"Victory in Europe Day"
"39",2008-05-12,"Whit Monday"
"40",2008-07-14,"Bastille Day"
"41",2008-08-15,"Assumption of Mary to Heaven"
"42",2008-11-01,"All Saints Day"
"43",2008-11-11,"Armistice Day"
"44",2008-12-25,"Christmas Day"
"45",2009-01-01,"New year"
"46",2009-04-13,"Easter Monday"
"47",2009-05-01,"Labour Day"
"48",2009-05-08,"Victory in Europe Day"
"49",2009-05-21,"Ascension Thursday"
"50",2009-06-01,"Whit Monday"
"51",2009-07-14,"Bastille Day"
"52",2009-08-15,"Assumption of Mary to Heaven"
"53",2009-11-01,"All Saints Day"
"54",2009-11-11,"Armistice Day"
"55",2009-12-25,"Christmas Day"
"56",2010-01-01,"New year"
"57",2010-04-05,"Easter Monday"
"58",2010-05-01,"Labour Day"
"59",2010-05-08,"Victory in Europe Day"
"60",2010-05-13,"Ascension Thursday"
"61",2010-05-24,"Whit Monday"
"62",2010-07-14,"Bastille Day"
"63",2010-08-15,"Assumption of Mary to Heaven"
"64",2010-11-01,"All Saints Day"
"65",2010-11-11,"Armistice Day"
"66",2010-12-25,"Christmas Day"
"67",2011-01-01,"New year"
"68",2011-04-25,"Easter Monday"
"69",2011-05-01,"Labour Day"
"70",2011-05-08,"Victory in Europe Day"
"71",2011-06-02,"Ascension Thursday"
"72",2011-06-13,"Whit Monday"
"73",2011-07-14,"Bastille Day"
"74",2011-08-15,"Assumption of Mary to Heaven"
"75",2011-11-01,"All Saints Day"
"76",2011-11-11,"Armistice Day"
"77",2011-12-25,"Christmas Day"
"78",2012-01-01,"New year"
"79",2012-04-09,"Easter Monday"
"80",2012-05-01,"Labour Day"
"81",2012-05-08,"Victory in Europe Day"
"82",2012-05-17,"Ascension Thursday"
"83",2012-05-28,"Whit Monday"
"84",2012-07-14,"Bastille Day"
"85",2012-08-15,"Assumption of Mary to Heaven"
"86",2012-11-01,"All Saints Day"
"87",2012-11-11,"Armistice Day"
"88",2012-12-25,"Christmas Day"
"89",2013-01-01,"New year"
"90",2013-04-01,"Easter Monday"
"91",2013-05-01,"Labour Day"
"92",2013-05-08,"Victory in Europe Day"
"93",2013-05-09,"Ascension Thursday"
"94",2013-05-20,"Whit Monday"
"95",2013-07-14,"Bastille Day"
"96",2013-08-15,"Assumption of Mary to Heaven"
"97",2013-11-01,"All Saints Day"
"98",2013-11-11,"Armistice Day"
"99",2013-12-25,"Christmas Day"
"100",2014-01-01,"New year"
"101",2014-04-21,"Easter Monday"
"102",2014-05-01,"Labour Day"
"103",2014-05-08,"Victory in Europe Day"
"104",2014-05-29,"Ascension Thursday"
"105",2014-06-09,"Whit Monday"
"106",2014-07-14,"Bastille Day"
"107",2014-08-15,"Assumption of Mary to Heaven"
"108",2014-11-01,"All Saints Day"
"109",2014-11-11,"Armistice Day"
"110",2014-12-25,"Christmas Day"
"111",2015-01-01,"New year"
"112",2015-04-06,"Easter Monday"
"113",2015-05-01,"Labour Day"
"114",2015-05-08,"Victory in Europe Day"
"115",2015-05-14,"Ascension Thursday"
"116",2015-05-25,"Whit Monday"
"117",2015-07-14,"Bastille Day"
"118",2015-08-15,"Assumption of Mary to Heaven"
"119",2015-11-01,"All Saints Day"
"120",2015-11-11,"Armistice Day"
"121",2015-12-25,"Christmas Day"
"122",2016-01-01,"New year"
"123",2016-03-28,"Easter Monday"
"124",2016-05-01,"Labour Day"
"125",2016-05-05,"Ascension Thursday"
"126",2016-05-08,"Victory in Europe Day"
"127",2016-05-16,"Whit Monday"
"128",2016-07-14,"Bastille Day"
"129",2016-08-15,"Assumption of Mary to Heaven"
"130",2016-11-01,"All Saints Day"
"131",2016-11-11,"Armistice Day"
"132",2016-12-25,"Christmas Day"
